metric, value, unit
operation, dlio,
ranks, 168,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 441.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "4.154, 3.116, 3.122, 2.975, 2.373", "s, s, s, s, s"
train metadata time, 15.741, s
train raw read time per epoch, "17.386, 18.627, 18.557, 18.811, 19.133", "s, s, s, s, s"
train total raw read time, 92.514, s
train raw read rate per epoch, "154.605, 144.304, 144.854, 142.896, 140.488", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 145.430, MB/s
train observed time per epoch, "32.875, 33.571, 33.345, 33.547, 32.427", "s, s, s, s, s"
train observed time, 165.765, s
train observed rate per epoch, "86.886, 84.974, 85.585, 85.039, 88.163", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 86.130, MB/s
train throughput samples per second per epoch, "1.278, 1.251, 1.260, 1.252, 1.295", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.267, samples/s
train throughput stdev samples per second, 0.017, samples/s
train io avg, 81.093, MB/s
train io stdev, 1.087, MB/s
eval total size, 126.000, GB
eval size per rank, 768.000, MB
eval emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
eval emulated compute time, 9.690, s
eval metadata time per epoch, "1.486, 1.481, 0.732, 0.745, 1.207", "s, s, s, s, s"
eval metadata time, 5.651, s
eval raw read time per epoch, "4.128, 4.281, 4.994, 4.933, 4.596", "s, s, s, s, s"
eval total raw read time, 22.932, s
eval raw read rate per epoch, "185.966, 179.290, 153.541, 155.448, 166.893", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 168.401, MB/s
eval observed time per epoch, "15.789, 15.650, 16.564, 16.193, 16.080", "s, s, s, s, s"
eval observed time, 80.277, s
eval observed rate per epoch, "55.445, 56.008, 52.509, 53.874, 54.307", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 54.429, MB/s
eval throughput samples per second per epoch, "0.760, 0.767, 0.724, 0.741, 0.746", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.748, samples/s
eval throughput stdev samples per second, 0.015, samples/s
eval io avg, 47.854, MB/s
eval io stdev, 972.414, KB/s
