metric, value, unit
operation, dlio,
ranks, 192,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 504.000, GB
train size per rank, 2.625, GB
train emulated compute time per epoch, "1.938, 1.938, 1.938, 1.938, 1.938", "s, s, s, s, s"
train emulated compute time, 9.690, s
train metadata time per epoch, "16.365, 18.921, 15.598, 16.430, 21.479", "s, s, s, s, s"
train metadata time, 88.794, s
train raw read time per epoch, "24.339, 22.998, 22.370, 20.471, 21.806", "s, s, s, s, s"
train total raw read time, 111.984, s
train raw read rate per epoch, "110.438, 116.879, 120.162, 131.309, 123.270", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 120.411, MB/s
train observed time per epoch, "88.264, 80.361, 80.164, 83.593, 167.655", "s, s, s, s, s"
train observed time, 500.037, s
train observed rate per epoch, "31.138, 34.275, 34.361, 32.919, 16.220", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 29.782, MB/s
train throughput samples per second per epoch, "0.476, 0.523, 0.524, 0.502, 0.251", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.455, samples/s
train throughput stdev samples per second, 0.104, samples/s
train io avg, 29.124, MB/s
train io stdev, 6.640, MB/s
eval total size, 120.000, GB
eval size per rank, 640.000, MB
eval emulated compute time per epoch, "1.615, 1.615, 1.615, 1.615, 1.615", "s, s, s, s, s"
eval emulated compute time, 8.075, s
eval metadata time per epoch, "3.506, 3.421, 2.900, 3.597, 5.216", "s, s, s, s, s"
eval metadata time, 18.639, s
eval raw read time per epoch, "5.075, 4.597, 4.510, 5.250, 4.172", "s, s, s, s, s"
eval total raw read time, 23.604, s
eval raw read rate per epoch, "125.885, 138.282, 141.144, 121.116, 152.588", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 136.507, MB/s
eval observed time per epoch, "34.887, 28.165, 37.086, 30.920, 40.883", "s, s, s, s, s"
eval observed time, 171.942, s
eval observed rate per epoch, "19.234, 24.105, 18.042, 21.839, 16.298", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 19.903, MB/s
eval throughput samples per second per epoch, "0.287, 0.355, 0.270, 0.323, 0.245", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.296, samples/s
eval throughput stdev samples per second, 0.039, samples/s
eval io avg, 18.936, MB/s
eval io stdev, 2.505, MB/s
