metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "1.560, 1.219, 1.406, 1.304, 1.873", "s, s, s, s, s"
train metadata time, 7.361, s
train raw read time per epoch, "13.968, 13.527, 13.474, 13.501, 12.734", "s, s, s, s, s"
train total raw read time, 67.204, s
train raw read rate per epoch, "128.290, 132.474, 132.999, 132.729, 140.726", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 133.443, MB/s
train observed time per epoch, "22.360, 21.666, 22.312, 21.495, 21.704", "s, s, s, s, s"
train observed time, 109.536, s
train observed rate per epoch, "85.056, 87.956, 85.252, 88.701, 87.792", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 86.951, MB/s
train throughput samples per second per epoch, "1.252, 1.292, 1.255, 1.303, 1.290", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 1.278, samples/s
train throughput stdev samples per second, 0.021, samples/s
train io avg, 81.820, MB/s
train io stdev, 1.328, MB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "0.418, 0.455, 0.416, 0.442, 0.441", "s, s, s, s, s"
eval metadata time, 2.172, s
eval raw read time per epoch, "3.797, 3.688, 3.481, 3.627, 3.714", "s, s, s, s, s"
eval total raw read time, 18.307, s
eval raw read rate per epoch, "134.468, 138.282, 146.865, 141.144, 137.329", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 139.951, MB/s
eval observed time per epoch, "11.009, 11.472, 11.081, 10.998, 11.430", "s, s, s, s, s"
eval observed time, 55.990, s
eval observed rate per epoch, "52.692, 50.294, 52.305, 52.748, 50.504", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 51.709, MB/s
eval throughput samples per second per epoch, "0.727, 0.697, 0.722, 0.727, 0.700", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.715, samples/s
eval throughput stdev samples per second, 0.013, samples/s
eval io avg, 45.738, MB/s
eval io stdev, 867.932, KB/s
