metric, value, unit
operation, dlio,
ranks, 240,
read threads, 0,
subfiling, NO,
chunking, NO,
collective meta, YES,
collective data, YES,
train total size, 420.000, GB
train size per rank, 1.750, GB
train emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
train emulated compute time, 6.460, s
train metadata time per epoch, "6.523, 7.088, 7.264, 9.062, 6.257", "s, s, s, s, s"
train metadata time, 36.194, s
train raw read time per epoch, "8.661, 11.746, 9.988, 9.414, 8.192", "s, s, s, s, s"
train total raw read time, 48.001, s
train raw read rate per epoch, "206.909, 152.561, 179.408, 190.348, 218.755", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg raw read rate, 189.596, MB/s
train observed time per epoch, "58.273, 71.364, 78.652, 79.427, 88.774", "s, s, s, s, s"
train observed time, 376.490, s
train observed rate per epoch, "31.448, 25.573, 23.164, 22.935, 20.483", "MB/s, MB/s, MB/s, MB/s, MB/s"
train avg observed rate, 24.721, MB/s
train throughput samples per second per epoch, "0.480, 0.392, 0.356, 0.353, 0.315", "samples/s, samples/s, samples/s, samples/s, samples/s"
train throughput avg samples per second, 0.379, samples/s
train throughput stdev samples per second, 0.056, samples/s
train io avg, 24.278, MB/s
train io stdev, 3.592, MB/s
eval total size, 120.000, GB
eval size per rank, 512.000, MB
eval emulated compute time per epoch, "1.292, 1.292, 1.292, 1.292, 1.292", "s, s, s, s, s"
eval emulated compute time, 6.460, s
eval metadata time per epoch, "2.272, 2.279, 2.118, 2.487, 2.352", "s, s, s, s, s"
eval metadata time, 11.507, s
eval raw read time per epoch, "3.545, 4.073, 4.187, 3.477, 2.402", "s, s, s, s, s"
eval total raw read time, 17.685, s
eval raw read rate per epoch, "144.004, 124.931, 122.070, 146.865, 212.669", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg raw read rate, 150.555, MB/s
eval observed time per epoch, "33.128, 45.392, 34.143, 66.182, 47.797", "s, s, s, s, s"
eval observed time, 226.642, s
eval observed rate per epoch, "16.082, 11.609, 15.585, 7.890, 11.009", "MB/s, MB/s, MB/s, MB/s, MB/s"
eval avg observed rate, 12.436, MB/s
eval throughput samples per second per epoch, "0.241, 0.176, 0.234, 0.121, 0.167", "samples/s, samples/s, samples/s, samples/s, samples/s"
eval throughput avg samples per second, 0.188, samples/s
eval throughput stdev samples per second, 0.045, samples/s
eval io avg, 12.035, MB/s
eval io stdev, 2.872, MB/s
